id,natural_language,tanium_question,intent,entities,difficulty,notes
1,Quel est le nom et l'adresse IP de tous les postes ?,"Get Computer Name, IP Address from all machines",inventory,{},simple,"Core sensors: Computer Name, IP Address"
2,Liste des machines Windows 10 encore en ligne,"Get Computer Name, Last Seen, IP Address from all machines where OS Platform contains ""Windows 10""",inventory,"{""os"": ""Windows 10""}",simple,Uses OS Platform sensor; 'Last Seen' sensor may be named differently in some environments
3,Quels sont les agents Tanium et leurs versions ?,Get Tanium Client Version from all machines,inventory,{},simple,Tanium Client Version sensor (core)
4,Quels postes ont plus de 500 Go d'espace disque libre sur C: ?,Get Free Space (C:) from all machines where Free Space (C:) > 500 GB,inventory,"{""drive"": ""C:"", ""threshold_gb"": 500}",simple,Sensor Free Space (C:) returns size; units depend on sensor config
5,Machines avec antivirus installé et nom du produit,"Get Antivirus Product, Antivirus Version from all machines",inventory,{},simple,Antivirus sensors depend on endpoint telemetry integration
6,Quels postes ont un BIOS/UEFI plus ancien que version X.Y.Z ?,"Get BIOS Version from all machines where BIOS Version < ""X.Y.Z""",inventory,"{""bios_version"": ""X.Y.Z""}",advanced,String comparison may require normalization; test in lab
7,Liste des adresses MAC et VLAN des adaptateurs réseau,"Get Network Adapter MAC, Adapter Name from all machines",inventory,{},simple,Adapter VLAN may not be available as a core sensor
8,Quelle est la dernière date de démarrage (uptime) par hôte ?,"Get Uptime, Last Boot Time from all machines",inventory,{},simple,Uptime/Last Boot Time sensors are commonly available
9,Quels processus sont en cours sur chaque machine ?,Get Running Processes from all machines,process,{},simple,Running Processes sensor; may return large payloads
10,Processus qui utilisent plus de 80 % CPU,"Get Process Name, PID, CPU Usage from all machines where CPU Usage > 80",process,"{""cpu_threshold"": 80}",simple,CPU Usage per process sensor required
11,Processus enfant de svchost.exe exécutés sur les postes,"Get Process Name, Parent Process Name, Command Line from all machines where Parent Process Name = ""svchost.exe""",process,"{""parent_process"": ""svchost.exe""}",advanced,Parent Process Name sensor must be available
12,Y a-t-il un binaire nommé rundll32.exe lancé depuis %temp% ?,"Get Process Name, Command Line from all machines where Process Name = ""rundll32.exe"" and Command Line contains ""%temp%""",process,"{""process_name"": ""rundll32.exe"", ""path_fragment"": ""%temp%""}",advanced,Command Line sensor search; be careful with environment variables expansion
13,Quels processus ont des handles réseau ouverts (connectés) ?,"Get Process Name, PID, Remote Address, Remote Port from all machines where Remote Address exists",process,{},advanced,Requires network connection/handle sensors
14,Quel utilisateur a lancé tel processus sur telle machine ?,"Get Process Name, PID, User Name from machines with Computer Name = ""HOST123""",audit,"{""host"": ""HOST123""}",simple,Targeted question by Computer Name
15,Est-ce que C:\Windows\Temp\malware.exe existe ?,"Get File Exists ""C:\Windows\Temp\malware.exe"" from all machines",file,"{""path"": ""C:\\Windows\\Temp\\malware.exe""}",simple,File Exists sensor exact path
16,Hash MD5 de C:\Windows\System32\powershell.exe sur tous les hôtes,"Get File Hash (MD5) of ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" from all machines",file,"{""path"": ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"", ""hash_type"": ""MD5""}",simple,Use correct path for PowerShell; sensor name may vary (File Hash)
17,Rechercher tous les *.pst sur une machine spécifique et renvoyer chemin complet,"Get File Name, File Path from machines with Computer Name = ""HOST123"" where File Name matches ""*.pst""",file,"{""file_pattern"": ""*.pst"", ""host"": ""HOST123""}",advanced,File search sensors can be resource intensive
18,Quels fichiers modifiés au cours des dernières 24 heures dans C:\Users ?,"Get File Name, File Path, Last Modified Time from all machines where Parent Path = ""C:\Users"" and Last Modified Time >= now - 24h",file,"{""path"": ""C:\\Users"", ""time_window_hours"": 24}",advanced,Time arithmetic depends on sensor capabilities
19,Taille du fichier / checksum pour un exécutable suspect,"Get File Size, SHA256 of ""C:\Temp\suspicious.exe"" from all machines",file,"{""path"": ""C:\\Temp\\suspicious.exe"", ""hash_type"": ""SHA256""}",simple,File Size and SHA256 sensors
20,Fichiers exécutables sans signature numérique,"Get File Name, File Path, Digital Signature Status from all machines where Digital Signature Status = ""Unsigned""",file,{},advanced,Digital signature sensor availability varies by environment
21,Service Windows 'Spooler' : état et type de démarrage,"Get Service Name, Service State, Startup Type from all machines where Service Name = ""Spooler""",services,"{""service"": ""Spooler""}",simple,Service sensors standard on Windows
22,Tâches planifiées qui lancent cmd.exe,"Get Scheduled Task Name, Action, Next Run Time from all machines where Action contains ""cmd.exe""",scheduled_task,"{""action_fragment"": ""cmd.exe""}",advanced,Scheduled Task sensors exist but names differ
23,Existe-t-il une clé de registre HKLM\Software\Malicious ?,"Get Registry Key Exists ""HKLM\\Software\\Malicious"" from all machines",registry,"{""registry_key"": ""HKLM\\Software\\Malicious""}",simple,Registry Key Exists sensor
24,Valeur de registre pour la clé d'autostart,"Get Registry Value ""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run"" from all machines",registry,"{""registry_path"": ""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run""}",simple,Returns autostart values
25,Extensions de services installées par l'utilisateur,"Get Installed Services, Service Path from all machines where Install Account = ""User""",services,"{""install_account"": ""User""}",advanced,Install Account filter may not be available on all sensors
26,Quelles machines écoutent sur le port 3389 ?,"Get Listening Ports, Process Name from all machines where Listening Ports contains 3389",network,"{""port"": 3389}",simple,Listening Ports sensor
27,Connexions réseau sortantes vers IPs externes,"Get Remote Address, Remote Port, Process Name from all machines where Remote Address not in private ranges",network,{},advanced,Filtering for private ranges requires CIDR logic; replace with explicit CIDRs if needed
28,Quels hôtes ont des résolutions DNS pour 'example.com' récemment ?,"Get DNS Queries from all machines where DNS Query contains ""example.com"" and Timestamp >= now - 1d",network,"{""domain"": ""example.com"", ""time_window_days"": 1}",advanced,DNS Query sensor required
29,Statistiques bytes envoyés par machine la dernière heure,"Get Network Bytes Sent, Network Bytes Received from all machines where Timestamp >= now - 1h",network,"{""time_window_hours"": 1}",advanced,Requires network telemetry sensors
30,Interfaces réseau désactivées / activées,"Get Network Adapter Status, Adapter Name from all machines",network,{},simple,Adapter status sensor
31,Machines qui manquent la mise à jour KB123456,"Get Installed Windows Updates from all machines where Updates does not contain ""KB123456""",patch,"{""kb_id"": ""KB123456""}",simple,Installed Windows Updates sensor
32,Liste des logiciels avec versions (pour corrélation CVE),"Get Installed Applications, Version from all machines",inventory,{},simple,Installed Applications sensor
33,Quel est le statut du Windows Update agent ?,"Get Windows Update Agent Version, Update Client State from all machines",patch,{},simple,Sensors for Windows Update Agent
34,Machines vulnérables selon le scanner (score CVE > 7.0),"Get Vulnerability ID, CVSS Score, Affected Hosts from vulnerability module where CVSS Score > 7.0",vulnerability,"{""cvss_threshold"": 7.0}",advanced,Requires Vulnerability module / dataset
35,Qui est connecté actuellement sur la machine HOST123 ?,"Get Logged On Users from machines with Computer Name = ""HOST123""",user,"{""host"": ""HOST123""}",simple,Logged On Users sensor
36,Comptes locaux membres du groupe Administrators,Get Local Administrator Accounts from all machines,identity,{},simple,Local admin accounts sensor
37,Dernière connexion interactive par utilisateur,"Get Last Interactive Logon, User Name from all machines",audit,{},simple,Last Interactive Logon sensor
38,Comptes avec mot de passe expiré,"Get Account Name, Password Expiration Date from all machines where Password Expiration Date <= now",account_security,{},advanced,Password Expiration sensor availability varies
39,Rechercher Event ID 4625 dans les 24 dernières heures,Get Event Log (Security) where Event ID = 4625 and Time Generated >= now - 24h from all machines,logs,"{""event_id"": 4625, ""time_window_hours"": 24}",advanced,Event log query syntax may vary; use 'Event Log (Security)' sensor
40,Evénements application contenant 'crash' au cours de la journée écoulée,"Get Event Log (Application) where Message contains ""crash"" and Time Generated >= now - 1d from all machines",logs,"{""keyword"": ""crash"", ""time_window_days"": 1}",advanced,Message contains filter
41,Exporter PCAP pour l'interface réseau sur hôtes ciblés,"Action: Deploy package ""Start Packet Capture"" to machines with Computer Group = ""InvestigateGroup""",action,"{""package"": ""Start Packet Capture"", ""group"": ""InvestigateGroup""}",advanced,Actions require packages and proper permissions
